Exam_Code,Certification_Name,Vendor,Level,Overview,Objective,Learning_Path
Microsoft Applied Skills,Get started with cloud security and monitoring tasks,Microsoft,Beginner,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to configure security, governance, and monitoring for Azure.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to configure security, governance, and monitoring for Azure. As a candidate for this credential, you should be familiar with Azure services.", Module 1. Perform basic Azure Management Tasks (Security and Monitoring).
Microsoft Applied Skills,Get started with identities and access using Microsoft Entra,Microsoft,Beginner,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to manage identities and access in Microsoft Entra.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to manage identities and access in Microsoft Entra. As a candidate for this credential, you should be familiar with Microsoft Entra ID.", Module 1. Perform basic identity and access tasks.
Microsoft Applied Skills,Implement AI models with Microsoft Power Platform AI Builder,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to build intelligent apps with AI Builder, a feature within Microsoft Power Platform. Candidates for this credential should be familiar with the Microsoft Power Platform Environment Maker role, Power Automate, Power Platform canvas apps, Power Automate cloud flows and Dataverse. They should also have experience with AI Builder.", Module 1. Implement AI models with Microsoft Power Platform AI Builder.
Microsoft Applied Skills,Implement a Real-Time Intelligence solution with Microsoft Fabric,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a Real-Time Intelligence solution in Microsoft Fabric, including:","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a Real-Time Intelligence solution in Microsoft Fabric, including: Candidates for this credential should be familiar with data transformation, exploratory analytics, and real-time dashboards. They should also be proficient in KQL.", Module 1. Implement Real-Time Intelligence with Microsoft Fabric.
Microsoft Applied Skills,Implement a data science and machine learning solution with Microsoft Fabric,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a data science solution by using Microsoft Fabric, including:","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a data science solution by using Microsoft Fabric, including: Candidates for this credential should be familiar with data science and AI fundamentals, in addition to open-source frameworks, such as scikit-learn and SynapseML. They should also have experience with:", Module 1. Implement a data science and machine learning solution for AI in Microsoft Fabric.
Microsoft Applied Skills,Implement a data warehouse in Microsoft Fabric,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a data warehouse in Microsoft Fabric, including:","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a data warehouse in Microsoft Fabric, including: Candidates for this credential should be familiar with data modeling, data transformation, and exploratory data analytics. They should also be able to query and change data by using T-SQL.", Module 1. Implement a data warehouse with Microsoft Fabric.
Microsoft Applied Skills,Implement a lakehouse in Microsoft Fabric,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a lakehouse in Microsoft Fabric, including:","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement a lakehouse in Microsoft Fabric, including: Candidates for this credential should be familiar with data modeling, data transformation, and exploratory analytics. They should also be able to query and change data by using SQL or PySpark.", Module 1. Implement a Lakehouse with Microsoft Fabric.
Microsoft Applied Skills,Implement information protection and data loss prevention by using Microsoft Purview,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement Microsoft Purview Information Protection and Microsoft Purview Data Loss Prevention. They validate their ability to discover, classify, and protect sensitive data in Microsoft 365, effectively implementing data security by using Microsoft Purview.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement Microsoft Purview Information Protection and Microsoft Purview Data Loss Prevention. They validate their ability to discover, classify, and protect sensitive data in Microsoft 365, effectively implementing data security by using Microsoft Purview. Candidates for this credential should be familiar with Microsoft 365 services, Microsoft Purview, and PowerShell. They should understand data classification, sensitivity labels, and policy enforcement. The scenario in this experience represents real-world challenges faced by those in security roles, including information protection and compliance administrators, Microsoft 365 administrators, and security operations analysts.", Module 1. Implement information protection and data loss prevention by using Microsoft Purview.
Microsoft Applied Skills,Implement knowledge mining with Azure AI Search,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create Azure AI Search solutions, implement custom skill sets, and add skill enrichment to an index to optimize search solutions.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to create Azure AI Search solutions, implement custom skill sets, and add skill enrichment to an index to optimize search solutions. Candidates for this credential should have experience with the Azure portal and with developing Azure Functions in C or Python.", Module 1. Implement knowledge mining with Azure AI Search.
Microsoft Applied Skills,"Implement retention, eDiscovery, and Communication Compliance in Microsoft Purview",Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement retention, eDiscovery, Communication Compliance, and Content search in Microsoft Purview.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement retention, eDiscovery, Communication Compliance, and Content search in Microsoft Purview. Candidates for this credential should be familiar with Microsoft 365 services and Microsoft Purview. They also need experience administering compliance in Microsoft 365."," Module 1. Implement retention, eDiscovery, and Communication compliance in Microsoft Purview."
Microsoft Applied Skills,Implement security through a pipeline using Azure DevOps,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement secure Azure Pipelines.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement secure Azure Pipelines. Candidates for this credential should be familiar with continuous integration and continuous deployment (CICD) tools, including Azure Pipelines.", Module 1. Implement security through a pipeline using Azure DevOps.
Microsoft Applied Skills,Migrate SQL Server workloads to Azure SQL Database,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to assess and migrate SQL Server workloads to Azure SQL Database.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to assess and migrate SQL Server workloads to Azure SQL Database. Candidates for this credential should have a solid understanding of both database-level and instance-level scoped objects in SQL Server. They should also be familiar with provisioning Azure SQL resources and navigating the Azure portal.", Module 1. Migrate SQL Server workloads to Azure SQL.
Microsoft Applied Skills,Prepare security and compliance to support Microsoft 365 Copilot,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to prepare Microsoft 365 security and compliance to support Microsoft Copilot for Microsoft 365.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to prepare Microsoft 365 security and compliance to support Microsoft Copilot for Microsoft 365. Candidates for this credential should be familiar with Microsoft 365 services, Microsoft Defender XDR, Microsoft Entra, Microsoft Intune, and Microsoft Purview.", Module 1. Prepare security and compliance to support Microsoft 365 Copilot.
Microsoft Applied Skills,Secure Azure services and workloads with Microsoft Defender for Cloud regulatory compliance controls,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement regulatory compliance controls as recommended by the Microsoft cloud security benchmark.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to implement regulatory compliance controls as recommended by the Microsoft cloud security benchmark. Candidates for this credential should be familiar with Azure infrastructure as a service (IaaS) and platform as a service (PaaS). They should have experience with security capabilities in Azure, along with a working knowledge of regulatory compliance standards.", Module 1. Secure Azure services and workloads with Microsoft Defender for Cloud regulatory compliance controls.
Microsoft Applied Skills,Secure storage for Azure Files and Azure Blob Storage,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to securely store business data by using Azure Blob Storage and Azure Files.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to securely store business data by using Azure Blob Storage and Azure Files. Candidates for this credential should be familiar with Azure services, storage, networking, and virtual machine concepts.", Module 1. Secure storage for Azure Files and Azure Blob Storage.
Microsoft Applied Skills,Train and manage a machine learning model with Azure Machine Learning,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to train and manage machine learning models with Azure Machine Learning. Candidates for this credential should be familiar with Azure services and should have experience with Azure Machine Learning and Mlflow. Candidates should also have experience performing tasks related to machine learning by using Python.", Module 1. Train and manage a machine learning model with Azure Machine Learning.
N/A,Microsoft Certified Educator,Microsoft,Intermediate,"The Microsoft Certified Educator (MCE) certification validates that you have the global educator technology literacy competencies needed to provide a rich, custom learning experience for students. This certification is ideal for:","The Microsoft Certified Educator (MCE) certification validates that you have the global educator technology literacy competencies needed to provide a rich, custom learning experience for students. This certification is ideal for: Microsoft offers a comprehensive e-learning curriculum, 21st Century Learning Design (21CLD), to help you prepare for this rigorous exam. Note This certification assesses whether educators understand how to apply technology tools in the six different content domains, not whether they are proficient in using specific technology tools. If youre looking for information on getting certified to teach specific Microsoft products and technologies, visitMicrosoft Certified Trainer.", Module 1. Train and manage a machine learning model with Azure Machine Learning.
Microsoft Certified,Azure AI Engineer Associate,Microsoft,Intermediate,"As a Microsoft Azure AI engineer, you build, manage, and deploy AI solutions that leverage Azure AI.","As a Microsoft Azure AI engineer, you build, manage, and deploy AI solutions that leverage Azure AI. Your responsibilities include participating in all phases of AI solutions development, including: You work with solution architects to translate their vision. You also work with data scientists, data engineers, Internet of Things (IoT) specialists, infrastructure administrators, and other software developers to: As an Azure AI engineer, you have experience developing solutions that use languages such as: You should be able to use Representational State Transfer (REST) APIs and SDKs to build secure image processing, video processing, natural language processing, knowledge mining, and generative AI solutions on Azure. You should:", Module 1. Develop AI solutions in Azure.
Microsoft Certified,Azure AI Fundamentals,Microsoft,Beginner,"This certification is an opportunity for you to demonstrate knowledge of machine learning and AI concepts and related Microsoft Azure services. As a candidate for this certification, you should have familiarity with the self-paced or instructor-led learning material.","This certification is an opportunity for you to demonstrate knowledge of machine learning and AI concepts and related Microsoft Azure services. As a candidate for this certification, you should have familiarity with the self-paced or instructor-led learning material. This certification is intended for you if you have both technical and non-technical backgrounds. Data science and software engineering experience are not required. However, you would benefit from having awareness of: You can use Azure AI Fundamentals to prepare for other Azure role-based certifications like Azure Data Scientist Associate or Azure AI Engineer Associate, but its not a prerequisite for any of them. You may be eligible for ACE college credit if you pass this certification. SeeACE college credit for certification examsfor details.", Module 1. Introduction to AI in Azure.
Microsoft Certified,Azure Administrator Associate,Microsoft,Intermediate,"As a candidate for this certification, you should have subject matter expertise in implementing, managing, and monitoring an organizations Azure environment, including:","As a candidate for this certification, you should have subject matter expertise in implementing, managing, and monitoring an organizations Azure environment, including: As an Azure administrator, you often serve as part of a larger team dedicated to implementing an organization's cloud infrastructure. You also coordinate with other roles to deliver Azure networking, security, database, application development, and DevOps solutions. You should be familiar with: In addition, you should have experience with:", Module 1. Microsoft Azure Administrator.
Microsoft Certified,Azure Cosmos DB Developer Specialty,Microsoft,Intermediate,"As a candidate for this certification, you should have subject matter expertise designing, implementing, and monitoring cloud-native applications that store and manage data.","As a candidate for this certification, you should have subject matter expertise designing, implementing, and monitoring cloud-native applications that store and manage data. Your responsibilities for this role include: As a professional in this role, you integrate the solution with other Azure services. You also design, implement, and monitor solutions that consider security, availability, resilience, and performance requirements. As a candidate for this certification, you must have solid knowledge and experience with: You should be proficient at developing applications that use the Azure Cosmos DB for NoSQL API. You should be able to: Additionally, you should be familiar with provisioning and managing resources in Azure.", Module 1. Designing and Implementing Cloud-Native Applications Using Microsoft Azure Cosmos DB.
Microsoft Certified,Azure Data Fundamentals,Microsoft,Beginner,"This certification is an opportunity to demonstrate your knowledge of core data concepts and related Microsoft Azure data services. As a candidate for this certification, you should have familiarity with Exam DP-900s self-paced or instructor-led learning material.","This certification is an opportunity to demonstrate your knowledge of core data concepts and related Microsoft Azure data services. As a candidate for this certification, you should have familiarity with Exam DP-900s self-paced or instructor-led learning material. This certification is intended for you, if youre a candidate beginning to work with data in the cloud. You should be familiar with: You can use Azure Data Fundamentals to prepare for other Azure role-based certifications like Azure Database Administrator Associate or Azure Data Engineer Associate, but it is not a prerequisite for any of them. You may be eligible for ACE college credit if you pass this certification. SeeACE college credit for certification examsfor details.", Module 1. Introduction to Microsoft Azure Data.
Microsoft Certified,Azure Data Scientist Associate,Microsoft,Intermediate,"As a candidate for this certification, you should have subject matter expertise in applying data science and machine learning to implement and run machine learning workloads on Azure. Additionally, you should have knowledge of optimizing language models for AI applications using Azure AI.","As a candidate for this certification, you should have subject matter expertise in applying data science and machine learning to implement and run machine learning workloads on Azure. Additionally, you should have knowledge of optimizing language models for AI applications using Azure AI. Your responsibilities for this role include: As a candidate for this certification, you should have knowledge and experience in data science by using:", Module 1. Designing and implementing a data science solution on Azure.
Microsoft Certified,Azure Database Administrator Associate,Microsoft,Intermediate,"As a candidate for this certification, you should have subject matter expertise in building database solutions that are designed to support multiple workloads built with:","As a candidate for this certification, you should have subject matter expertise in building database solutions that are designed to support multiple workloads built with: Youre a database administrator who manages on-premises and cloud databases built with SQL Server and Azure SQL services. As the Azure database administrator, you implement and manage the operational aspects of cloud-native and hybrid data platform solutions built on SQL Server and Azure SQL services. You use a variety of methods and tools to perform and automate day-to-day operations, including applying knowledge of using Transact-SQL (T-SQL) and other tools for administrative management purposes. Youre responsible for the following concerning database solutions: You evaluate and implement migration strategies for moving databases between Azure and on-premises. Plus, you work with Azure data engineers, Azure solution architects, Azure developers, data scientists, and other professionals to manage operational aspects of data platform solutions. As a candidate for this certification, you should have knowledge of and experience with: Important The English language version of this certification will be updated on June 18, 2025. Review the study guide linked in the Certification resources section for details about upcoming changes.", Module 1. Implement scalable database solutions using Azure SQL.
Microsoft Certified,Azure Developer Associate,Microsoft,Intermediate,"As a candidate for this certification, youre responsible for participating in all phases of development, including requirements gathering, design, development, deployment, security, maintenance, performance tuning, and monitoring.","As a candidate for this certification, youre responsible for participating in all phases of development, including requirements gathering, design, development, deployment, security, maintenance, performance tuning, and monitoring. You should be proficient in Azure: To implement solutions, you partner with: You should have:", Module 1. Develop Solutions for Microsoft Azure.
Microsoft Certified,Azure Fundamentals,Microsoft,Beginner,"As a candidate for this certification, youre a technology professional who wants to demonstrate foundational knowledge of cloud concepts in general and Microsoft Azure in particular. This certification is a common starting point in a journey towards a career in Azure.","As a candidate for this certification, youre a technology professional who wants to demonstrate foundational knowledge of cloud concepts in general and Microsoft Azure in particular. This certification is a common starting point in a journey towards a career in Azure. You can describe Azure architectural components and Azure services, such as: You can also describe features and tools to secure, govern, and administer Azure. You should have skills and experience working with an area of IT, such as: You may be eligible for ACE college credit if you pass this certification exam. SeeACE college credit for certification examsfor details. Important The English language version of this certification will be updated on October 30, 2025. Review the study guide linked in the Certification resources section for details about upcoming changes.", Module 1. Introduction to Microsoft Azure.
Microsoft Certified,Azure Network Engineer Associate,Microsoft,Intermediate,"As a candidate for this certification, you should have subject matter expertise in planning, implementing, and managing Azure networking solutions, including:","As a candidate for this certification, you should have subject matter expertise in planning, implementing, and managing Azure networking solutions, including: As an Azure network engineer your responsibilities include optimizing performance, resiliency, scale, and security of Azure networking solutions. You proactively monitor network environments to identify issues and minimize risk. You also identify and resolve connectivity issues. To deliver Azure solutions, you work with: As a candidate for this certification, you should have experience creating and managing compute, storage, and networking resources in Azure. You should understand networking fundamentals, such as:", Module 1. Design and Implement Microsoft Azure Network Solutions.
Microsoft Certified,Azure Security Engineer Associate,Microsoft,Intermediate,"As the Azure security engineer, you implement, manage, and monitor security for resources in Azure, multi-cloud, and hybrid environments as part of an end-to-end infrastructure. You implement and manage security components and configurations by using Microsoft Defender for Cloud and other tools. You ensure that the infrastructure aligns with standards and best practices such as the Microsoft Cloud Security Benchmark (MCSB).","As the Azure security engineer, you implement, manage, and monitor security for resources in Azure, multi-cloud, and hybrid environments as part of an end-to-end infrastructure. You implement and manage security components and configurations by using Microsoft Defender for Cloud and other tools. You ensure that the infrastructure aligns with standards and best practices such as the Microsoft Cloud Security Benchmark (MCSB). Your responsibilities as an Azure security engineer include: You are responsible for implementing regulatory compliance controls for Azure infrastructure including identity and access, network, compute, storage, data, applications, asset management, backup and recovery, and devops security. As an Azure security engineer, you work with architects, administrators, and developers to plan and implement solutions that meet security and compliance requirements. You may also collaborate with security operations in responding to security incidents in Azure. You should have:", Module 1. Microsoft Azure Security Technologies.
Microsoft Certified,Azure Solutions Architect Expert,Microsoft,Advanced,"As a Microsoft Azure solutions architect, you have subject matter expertise in designing cloud and hybrid solutions that run on Azure, including:","As a Microsoft Azure solutions architect, you have subject matter expertise in designing cloud and hybrid solutions that run on Azure, including: Your responsibilities for this role include advising stakeholders and translating business requirements into designs for Azure solutions that align with the Azure Well-Architected Framework and Cloud Adoption Framework for Azure. In this role, you implement solutions on Azure by partnering with various other job roles, including: As a candidate for this certification, you should have advanced experience and knowledge of IT operations, including networking, virtualization, identity, security, business continuity, disaster recovery, data platforms, and governance. You should manage how decisions in each area affect an overall solution. In addition, you should have experience with: Important The English language version of this certification was updated on October 18, 2024. Review the study guide linked on theExam AZ-305 pagefor details about latest changes."," Module 1. AZ-305 Microsoft Azure Architect Design Prerequisites. Module 2. AZ-305: Design identity, governance, and monitor solutions. Module 3. AZ-305: Design business continuity solutions. Module 4. AZ-305: Design data storage solutions. Module 5. AZ-305: Design infrastructure solutions. Module 6. Build great solutions with the Microsoft Azure Well-Architected Framework."
Microsoft Certified,Azure Virtual Desktop Specialty,Microsoft,Intermediate,"As a candidate for this certification, you should be a server or desktop administrator with subject matter expertise in designing, implementing, managing, and maintaining Microsoft Azure Virtual Desktop experiences and remote apps for any device.","As a candidate for this certification, you should be a server or desktop administrator with subject matter expertise in designing, implementing, managing, and maintaining Microsoft Azure Virtual Desktop experiences and remote apps for any device. To deliver these experiences, you should work closely with: You should have experience with Azure technologies, including: You should be able to manage end-user desktop environments, including delivering applications and configuring user settings. You should use the Azure portal, templates, scripting, and command-line tools to manage an Azure Virtual Desktop deployment. Important The English language version of this certification will be updated on October 30, 2025. Review the study guide linked in the Certification resources section for details about upcoming changes.", Module 1. Configure and Operate Microsoft Azure Virtual Desktop.
Microsoft Certified,Azure for SAP Workloads Specialty,Microsoft,Intermediate,"As a candidate for this certification, youre an architect or engineer who designs and manages the SAP landscape on Azure. Your responsibilities include:","As a candidate for this certification, youre an architect or engineer who designs and manages the SAP landscape on Azure. Your responsibilities include: You recommend services and adjust resources as appropriate for optimal: You partner with cloud administrators, cloud database administrators, and clients to implement solutions, including RISE with SAP. You manage SAP infrastructure by using: You should have extensive experience and knowledge of the SAP applications and databases including: You should also have experience with virtualization, cloud infrastructure, storage structures, high availability, backup, disaster recovery, data protection, and networking. For this certification, we strongly recommend that candidates have an Azure Administrator Associate certification.", Module 1. Planning and Deploying SAP on Azure.
Microsoft Certified,Cybersecurity Architect Expert,Microsoft,Advanced,"As a Microsoft cybersecurity architect, you translate a cybersecurity strategy into capabilities that protect the assets, business, and operations of an organization. You design, guide the implementation of, and maintain security solutions that follow Zero Trust principles and best practices, including security strategies for identity, devices, data, AI, applications, network, infrastructure, and DevOps. Plus, you design solutions for Governance and Risk Compliance (GRC), security operations, and security posture management.","As a Microsoft cybersecurity architect, you translate a cybersecurity strategy into capabilities that protect the assets, business, and operations of an organization. You design, guide the implementation of, and maintain security solutions that follow Zero Trust principles and best practices, including security strategies for identity, devices, data, AI, applications, network, infrastructure, and DevOps. Plus, you design solutions for Governance and Risk Compliance (GRC), security operations, and security posture management. As a cybersecurity architect, you continuously collaborate with leaders and practitioners in security, privacy, engineering, and other roles across an organization to plan and implement a cybersecurity strategy that meets the business needs of an organization.As a candidate for this certification, you have experience implementing or administering solutions in the following areas: identity and access, platform protection, security operations, data and AI security, application security, and hybrid and multicloud infrastructures. You should have expert skills in at least one of those areas, and you should have experience designing security solutions that include Microsoft security technologies. Important The English language version of this certification was updated on July 22, 2025. Review the study guide linked on theExam SC-100 pagefor details about recent changes."," Module 1. SC-100: Design solutions that align with security best practices and priorities. Module 2. SC-100: Design security operations, identity, and compliance capabilities. Module 3. SC-100: Design security solutions for applications and data. Module 4. SC-100: Design security solutions for infrastructure."
Microsoft Certified,DevOps Engineer Expert,Microsoft,Advanced,"As a DevOps engineer, youre a developer or infrastructure administrator who also has subject matter expertise in working with people, processes, and products to enable continuous delivery of value in organizations.","As a DevOps engineer, youre a developer or infrastructure administrator who also has subject matter expertise in working with people, processes, and products to enable continuous delivery of value in organizations. Your responsibilities for this role include delivering Microsoft DevOps solutions that provide continuous security, integration, testing, delivery, deployment, monitoring, and feedback. You design and implement flow of work, collaboration, communication, source control, and automation. As a DevOps engineer, you work on cross-functional teams that include: You must have experience both administering and developing in Azure, with strong skills in at least one of these areas. You should also have experience implementing both GitHub and Azure DevOps solutions. Important The English language version of this certification was updated on July 26, 2024. Review the study guide linked on theExam AZ-400 pagefor details about recent changes.", Module 1. AZ-400: Development for enterprise DevOps. Module 2. AZ-400: Implement CI with Azure Pipelines and GitHub Actions. Module 3. AZ-400: Design and implement a release strategy. Module 4. AZ-400: Implement a secure continuous deployment using Azure Pipelines. Module 5. AZ-400: Manage infrastructure as code using Azure and DSC. Module 6. AZ-400: Design and implement a dependency management strategy. Module 7. AZ-400: Implement continuous feedback. Module 8. AZ-400: Implement security and validate code bases for compliance.
Microsoft Certified,Dynamics 365 Business Central Developer Associate,Microsoft,Intermediate,"As a Microsoft Dynamics 365 Business Central developer, youre responsible for designing, developing, testing, and maintaining solutions based on Dynamics 365 Business Central. In this role, you develop apps that extend Business Central, including customizing or adding extra functionality. You also integrate Business Central with other applications, such as Microsoft Power Platform products. Plus, you need to ensure that data remains current during an upgrade process.","As a Microsoft Dynamics 365 Business Central developer, youre responsible for designing, developing, testing, and maintaining solutions based on Dynamics 365 Business Central. In this role, you develop apps that extend Business Central, including customizing or adding extra functionality. You also integrate Business Central with other applications, such as Microsoft Power Platform products. Plus, you need to ensure that data remains current during an upgrade process. As a Business Central developer, youre responsible for troubleshooting and debugging issues in the system. This may involve: You may be required to optimize the performance of the system by: You must have applied knowledge of Business Central and the application language (AL), the development environment, and other tools to develop extensions for it. You need some knowledge of how to install and upgrade the system. You should also understand: As a developer, you should have knowledge of: Important The English language version of this certification will be updated on June 10, 2025. Review the study guide linked in the Certification resources section for details about upcoming changes.", Module 1. Dynamics 365 Business Central Developer.
Microsoft Certified,Dynamics 365 Business Central Functional Consultant Associate,Microsoft,Intermediate,"As a candidate for this certification, youre a functional consultant who implements Business Central including the configuration of the core application, creating companies, and migrating data for small and medium businesses. You configure the application in collaboration with the implementation team to provide the business with manageability and ease of use by setting up modules, including:","As a candidate for this certification, youre a functional consultant who implements Business Central including the configuration of the core application, creating companies, and migrating data for small and medium businesses. You configure the application in collaboration with the implementation team to provide the business with manageability and ease of use by setting up modules, including: You have applied knowledge of meeting business needs by specializing in one or more feature sets of Business Central. As a candidate, you may configure role centers including adapting insights, cues, action tiles, reports, charts, and utilize copilots inside Business Central. You also may expand functionality by using extensions. You understand how to connect and use technologies with Business Central, including:", Module 1. Manage business solutions with Microsoft Dynamics 365 Business Central.
Microsoft Certified,Dynamics 365 Customer Experience Analyst Associate,Microsoft,Intermediate,"As a candidate for this certification, you're a Microsoft Dynamics 365 customer experience analyst who has:","As a candidate for this certification, you're a Microsoft Dynamics 365 customer experience analyst who has: Youre responsible for configuring, customizing, and expanding the functionality of Dynamics 365 Sales to create business solutions that support, automate, and accelerate the company's sales process. You use your knowledge of customer experience capabilities in Dynamics 365 Sales and Microsoft Power Platform to inform the following design and implementation tasks: As a candidate, you need: Important The English language version of this certification will be updated on September 24, 2025. Review the study guide linked in the Certification resources section for details about upcoming changes.", Module 1. Dynamics 365 Customer Experience Analyst course series.
Microsoft Certified,Dynamics 365 Customer Service Functional Consultant Associate,Microsoft,Intermediate,"As a candidate for this certification, youre a functional consultant with customer service expertise. Youre responsible for implementing solutions that focus upon:","As a candidate for this certification, youre a functional consultant with customer service expertise. Youre responsible for implementing solutions that focus upon: You design and implement service management processes and automation in collaboration with solution architects and developers. You coordinate with customer engagement administrators to implement and upgrade customer service components including: You must have strong applied knowledge of customer service, including in-depth understanding of cases, knowledge management, queues, service scheduling, service-level agreements (SLAs), Microsoft Copilot Studio, Customer Service applications, Customer Voice, basic and unified routing, and Contact Center. As a functional consultant, your knowledge should include: Important The English language version of this certification will be updated on October 3, 2025. Review the study guide linked in the Certification resources section for details about upcoming changes.", Module 1. Microsoft Dynamics 365 Customer Service.
Microsoft Certified,Dynamics 365 Field Service Functional Consultant Associate,Microsoft,Intermediate,"As a candidate for this certification, youre a Microsoft Dynamics 365 Field Service functional consultant. Youre responsible for implementing solutions that:","As a candidate for this certification, youre a Microsoft Dynamics 365 Field Service functional consultant. Youre responsible for implementing solutions that: Youre responsible for: As a candidate, you should have a basic understanding of field service principles and the role the Field Service app plays in relationship to the Dynamics 365 suite of applications, including integration of: You should understand:", Module 1. Microsoft Dynamics 365 Field Service.
Microsoft Certified,Dynamics 365 Finance Functional Consultant Associate,Microsoft,Intermediate,"As a candidate for this certification, you analyze business requirements and translate them into fully realized business processes and solutions that implement industry-recommended practices. You have a fundamental understanding of accounting principles and financial operations as they relate to:","As a candidate for this certification, you analyze business requirements and translate them into fully realized business processes and solutions that implement industry-recommended practices. You have a fundamental understanding of accounting principles and financial operations as they relate to: As a candidate for this exam, you specialize in one or more feature sets of Dynamics 365 Finance including:", Module 1. Manage Financial Operations with Dynamics 365 Finance.
Microsoft Certified,Dynamics 365 Fundamentals (CRM),Microsoft,Beginner,"As a candidate for this certification, you aspire to understand how customer engagement apps for Dynamics 365 can be used to:","As a candidate for this certification, you aspire to understand how customer engagement apps for Dynamics 365 can be used to: The certification is intended for you if youre seeking to start your journey using Dynamics 365 customer engagement solutions. You can use this certification to prepare for role-based or specialty certifications, but its not a prerequisite for any of them.", Module 1. Introduction to Microsoft Dynamics 365 (CRM).
Microsoft Certified,Dynamics 365 Fundamentals (ERP),Microsoft,Beginner,This exam covers the features and capabilities of Dynamics 365 Finance and Dynamics 365 Supply Chain Management.,"This exam covers the features and capabilities of Dynamics 365 Finance and Dynamics 365 Supply Chain Management. As a candidate for this certification, you aspire to understand how Finance and Supply Chain Management can be used to: This certification is intended for you if youre seeking to start your journey using Finance and Supply Chain Management solutions. You can use this certification to prepare for role-based or specialty certifications, but its not a prerequisite for any of them.", Module 1. Introduction to Microsoft Dynamics 365 (ERP).
Microsoft Certified,Dynamics 365 Supply Chain Management Functional Consultant Associate,Microsoft,Intermediate,"As a candidate for this certification, you design solutions and configure Dynamics 365 Supply Chain Management to meet the business requirements for a customer. You understand the end-to-end processes of supply chain management and can identify system capabilities and features that can be used to implement system functionality using industry-recommended practices.","As a candidate for this certification, you design solutions and configure Dynamics 365 Supply Chain Management to meet the business requirements for a customer. You understand the end-to-end processes of supply chain management and can identify system capabilities and features that can be used to implement system functionality using industry-recommended practices. You possess knowledge of supply chain management operations and implementing Dynamics 365 Supply Chain Management features, including: As a candidate, you: You deliver effective solutions that meet or exceed the needs of your customers by partnering with:", Module 1. Conceptualize Supply Chain Management in Microsoft Dynamics 365.
